CATEGORY,DATE,UNITS_SOLD
CATEG-3,2021-03-22,1991
CATEG-3,2020-08-11,1474
CATEG-2,2021-06-28,36
CATEG-2,2021-06-27,34
CATEG-2,2020-02-15,3
CATEG-2,2021-02-17,27
CATEG-3,2020-04-22,1009
CATEG-1,2019-12-31,56
CATEG-1,2021-05-24,113
CATEG-1,2021-09-27,47
CATEG-3,2021-07-17,1858
CATEG-1,2020-09-22,54
CATEG-2,2019-06-20,12
CATEG-1,2020-08-31,63
CATEG-1,2020-05-10,40
CATEG-2,2020-04-09,175
CATEG-2,2020-04-14,332
CATEG-2,2021-06-10,53
CATEG-1,2020-07-10,72
CATEG-1,2020-05-13,55
CATEG-2,2019-08-24,1
CATEG-3,2020-12-17,4087
CATEG-1,2021-05-14,30
CATEG-1,2019-09-05,18
CATEG-3,2020-02-15,554
CATEG-2,2020-11-20,23
CATEG-2,2019-09-10,4
CATEG-2,2019-07-21,12
CATEG-3,2020-08-01,1253
CATEG-1,2019-12-04,64
CATEG-3,2021-03-30,2008
CATEG-3,2020-05-01,1356
CATEG-3,2020-08-10,1479
CATEG-1,2019-10-14,25
CATEG-3,2019-08-15,696
CATEG-1,2021-03-20,44
CATEG-3,2021-06-22,2808
CATEG-2,2019-06-25,15
CATEG-3,2020-12-29,2973
CATEG-1,2021-05-27,95
CATEG-3,2020-05-14,1646
CATEG-2,2020-05-17,146
CATEG-3,2020-12-03,2415
CATEG-1,2021-10-23,40
CATEG-2,2020-04-01,177
CATEG-1,2021-02-12,95
CATEG-2,2019-11-30,4
CATEG-1,2021-01-26,82
CATEG-1,2020-12-21,137
CATEG-3,2020-10-08,1380
CATEG-1,2021-09-30,35
CATEG-3,2020-08-21,1402
CATEG-2,2021-08-03,48
CATEG-3,2021-02-06,1868
CATEG-1,2020-06-21,38
CATEG-1,2021-06-07,43
CATEG-2,2021-10-10,18
CATEG-1,2020-07-26,51
CATEG-1,2019-12-16,105
CATEG-3,2020-07-07,1277
CATEG-2,2021-03-25,159
CATEG-2,2019-07-23,14
CATEG-1,2020-02-26,22
CATEG-3,2020-05-17,1516
CATEG-3,2019-12-24,650
CATEG-2,2020-10-29,9
CATEG-1,2021-05-05,47
CATEG-3,2018-10-12,2
CATEG-1,2020-06-03,50
CATEG-2,2019-10-03,3
CATEG-2,2020-07-29,42
CATEG-1,2021-08-15,46
CATEG-2,2020-01-23,4
CATEG-3,2020-01-18,579
CATEG-1,2019-08-16,25
CATEG-3,2020-11-19,3560
CATEG-1,2021-09-17,39
CATEG-2,2021-11-08,21
CATEG-3,2021-03-23,1978
CATEG-1,2020-03-29,26
CATEG-3,2021-09-12,2079
CATEG-2,2020-09-07,19
CATEG-1,2019-12-14,68
CATEG-2,2019-11-26,7
CATEG-2,2021-06-26,34
CATEG-3,2020-06-28,1049
CATEG-3,2021-04-09,1815
CATEG-2,2021-03-03,81
CATEG-3,2020-04-06,769
CATEG-1,2020-10-30,25
CATEG-2,2021-02-08,34
CATEG-1,2020-05-19,80
CATEG-3,2019-10-24,492
CATEG-3,2020-11-10,3149
CATEG-3,2020-02-17,775
CATEG-3,2020-01-11,570
CATEG-1,2019-07-26,16
CATEG-2,2020-04-15,264
CATEG-1,2020-06-30,77
CATEG-3,2021-02-15,2019
CATEG-2,2020-01-07,3
CATEG-2,2019-10-07,3
CATEG-1,2020-08-06,64
CATEG-1,2021-05-02,50
CATEG-2,2020-05-30,121
CATEG-3,2020-11-05,1866
CATEG-2,2020-07-19,81
CATEG-2,2020-06-21,84
CATEG-3,2018-10-07,1
CATEG-2,2020-08-15,32
CATEG-1,2020-05-07,45
CATEG-2,2021-05-29,51
CATEG-3,2019-11-05,618
CATEG-1,2021-03-25,58
CATEG-3,2019-09-04,622
CATEG-2,2021-05-10,44
CATEG-1,2020-09-12,42
CATEG-1,2020-02-29,16
CATEG-2,2021-09-30,18
CATEG-3,2020-02-19,751
CATEG-1,2019-06-26,24
CATEG-1,2020-12-31,68
CATEG-1,2020-10-26,33
CATEG-1,2021-01-09,53
CATEG-2,2019-07-16,28
CATEG-1,2021-06-15,51
CATEG-2,2019-11-24,4
CATEG-2,2020-10-11,8
CATEG-2,2020-04-18,242
CATEG-2,2019-11-27,3
CATEG-2,2019-12-31,4
CATEG-2,2020-01-05,1
CATEG-1,2019-06-23,14
CATEG-2,2020-01-11,2
CATEG-2,2021-09-19,20
CATEG-3,2020-05-10,1300
CATEG-2,2020-12-01,12
CATEG-3,2021-01-14,2049
CATEG-1,2020-07-27,76
CATEG-3,2020-05-16,1566
CATEG-3,2020-03-13,638
CATEG-1,2020-04-03,38
CATEG-3,2019-07-01,619
CATEG-3,2020-08-12,1423
CATEG-3,2020-08-08,1106
CATEG-3,2021-07-16,2162
CATEG-3,2021-02-23,1971
CATEG-1,2020-04-14,56
CATEG-3,2021-08-22,1753
CATEG-3,2020-09-08,1791
CATEG-2,2019-07-02,16
CATEG-1,2019-11-27,35
CATEG-2,2019-10-06,3
CATEG-1,2021-04-23,46
CATEG-1,2020-07-29,56
CATEG-1,2020-11-26,73
CATEG-2,2021-02-28,86
CATEG-1,2019-09-27,17
CATEG-3,2020-11-28,2318
CATEG-3,2021-08-13,1997
CATEG-3,2021-06-10,1957
CATEG-3,2021-04-10,1633
CATEG-3,2021-07-27,1923
CATEG-3,2021-01-23,2069
CATEG-1,2021-05-31,147
CATEG-2,2019-07-14,18
CATEG-1,2019-12-13,90
CATEG-1,2020-07-01,70
CATEG-1,2019-12-03,77
CATEG-2,2020-06-01,153
CATEG-1,2020-01-10,29
CATEG-1,2019-08-08,25
CATEG-2,2020-07-17,110
CATEG-2,2020-11-29,12
CATEG-3,2019-06-30,424
CATEG-1,2021-10-29,43
CATEG-3,2020-03-30,618
CATEG-1,2019-07-30,25
CATEG-1,2020-06-09,84
CATEG-1,2021-06-05,39
CATEG-3,2021-11-12,3829
CATEG-3,2020-12-11,3009
CATEG-3,2019-06-23,387
CATEG-2,2019-12-11,9
CATEG-2,2019-10-27,2
CATEG-3,2019-10-30,575
CATEG-1,2021-05-10,36
CATEG-1,2020-07-08,73
CATEG-1,2021-06-19,37
CATEG-3,2019-06-25,588
CATEG-3,2020-02-28,672
CATEG-1,2020-01-23,39
CATEG-1,2021-07-17,46
CATEG-2,2019-12-17,9
CATEG-2,2020-12-20,40
CATEG-3,2019-09-13,450
CATEG-1,2019-07-20,11
CATEG-3,2021-07-06,2571
CATEG-1,2020-04-05,23
CATEG-3,2019-11-16,1209
CATEG-2,2021-08-28,19
CATEG-1,2021-03-02,79
CATEG-2,2021-08-06,39
CATEG-2,2020-05-14,98
CATEG-1,2020-05-28,91
CATEG-1,2020-12-04,100
CATEG-1,2020-04-29,78
CATEG-2,2020-11-01,11
CATEG-2,2020-11-14,17
CATEG-1,2020-07-20,71
CATEG-2,2019-11-03,3
CATEG-2,2021-11-02,18
CATEG-2,2021-01-04,33
CATEG-1,2020-03-17,32
CATEG-1,2021-07-15,62
CATEG-2,2021-02-27,68
CATEG-2,2020-03-20,40
CATEG-3,2020-08-26,1418
CATEG-2,2019-11-19,4
CATEG-3,2020-07-22,1418
CATEG-3,2020-07-23,1371
CATEG-1,2020-02-05,25
CATEG-2,2020-11-13,18
CATEG-3,2020-09-12,1284
CATEG-1,2020-06-13,59
CATEG-2,2020-07-03,67
CATEG-3,2020-06-24,1196
CATEG-3,2019-08-24,446
CATEG-1,2020-12-29,112
CATEG-2,2020-04-23,307
CATEG-2,2021-07-27,40
CATEG-1,2021-06-27,31
CATEG-1,2021-09-23,45
CATEG-2,2021-04-01,171
CATEG-2,2021-08-02,49
CATEG-3,2021-07-12,2149
CATEG-3,2021-10-11,2171
CATEG-2,2020-11-05,7
CATEG-1,2021-09-01,50
CATEG-3,2020-06-25,1256
CATEG-3,2019-08-03,448
CATEG-1,2020-11-12,139
CATEG-3,2020-04-05,557
CATEG-3,2021-01-03,2369
CATEG-2,2019-08-23,6
CATEG-1,2020-03-26,25
CATEG-2,2020-11-23,10
CATEG-3,2020-04-07,695
CATEG-1,2021-09-16,36
CATEG-1,2021-10-01,33
CATEG-3,2020-08-03,1411
CATEG-3,2021-06-09,2261
CATEG-2,2019-09-03,4
CATEG-3,2020-10-06,1445
CATEG-2,2021-02-05,22
CATEG-3,2020-07-30,1389
CATEG-2,2019-09-30,3
CATEG-1,2020-11-06,67
CATEG-3,2020-04-30,1382
CATEG-2,2021-06-08,54
CATEG-1,2021-10-12,43
CATEG-3,2019-08-07,714
CATEG-2,2020-03-29,134
CATEG-1,2019-07-05,23
CATEG-3,2020-05-22,2828
CATEG-2,2021-10-08,11
CATEG-2,2020-01-02,7
CATEG-3,2021-09-07,2544
CATEG-2,2019-07-25,15
CATEG-1,2021-03-19,50
CATEG-1,2021-07-01,46
CATEG-1,2019-09-25,19
CATEG-1,2021-04-02,55
CATEG-3,2020-11-26,1750
CATEG-1,2019-12-10,102
CATEG-3,2021-02-02,2046
CATEG-3,2019-08-22,635
CATEG-1,2021-07-16,58
CATEG-2,2021-01-27,19
CATEG-3,2019-07-14,482
CATEG-1,2021-09-05,35
CATEG-1,2020-07-17,58
CATEG-2,2019-08-25,4
CATEG-3,2020-05-15,1825
CATEG-2,2019-11-29,5
CATEG-1,2020-01-11,25
CATEG-1,2021-04-22,60
CATEG-1,2020-10-13,60
CATEG-2,2021-05-23,53
CATEG-1,2020-12-03,113
CATEG-1,2020-04-23,62
CATEG-3,2020-06-06,1221
CATEG-1,2020-10-19,44
CATEG-3,2021-09-17,2096
CATEG-3,2020-10-31,1866
CATEG-1,2021-05-17,51
CATEG-3,2021-06-30,2115
CATEG-3,2020-03-12,762
CATEG-3,2020-01-12,597
CATEG-1,2020-09-10,46
CATEG-3,2018-10-20,1
CATEG-2,2021-03-19,84
CATEG-1,2021-04-21,57
CATEG-1,2019-07-08,25
CATEG-1,2021-03-27,46
CATEG-3,2021-04-30,1685
CATEG-3,2021-06-16,2688
CATEG-2,2021-03-24,156
CATEG-2,2021-08-11,44
CATEG-2,2020-01-29,3
CATEG-2,2021-03-26,205
CATEG-3,2020-10-17,1604
CATEG-2,2019-07-06,14
CATEG-2,2019-12-26,5
CATEG-3,2019-12-29,632
CATEG-3,2019-07-17,764
CATEG-1,2020-07-25,57
CATEG-2,2020-11-22,8
CATEG-3,2020-09-15,1431
CATEG-3,2021-01-22,2095
CATEG-2,2021-07-09,33
CATEG-1,2020-06-24,67
CATEG-1,2019-09-16,20
CATEG-3,2020-03-24,502
CATEG-1,2019-12-20,76
CATEG-1,2020-05-08,57
CATEG-3,2020-07-01,1448
CATEG-1,2021-01-25,84
CATEG-3,2019-07-28,406
CATEG-3,2021-04-14,1953
CATEG-1,2019-09-02,26
CATEG-2,2020-06-17,93
CATEG-2,2020-11-10,22
CATEG-1,2019-10-09,19
CATEG-1,2021-02-07,76
CATEG-2,2021-03-28,244
CATEG-2,2021-09-06,18
CATEG-1,2020-09-03,56
CATEG-2,2019-07-04,17
CATEG-1,2020-11-08,62
CATEG-3,2019-10-07,590
CATEG-1,2020-01-27,36
CATEG-1,2021-03-21,54
CATEG-2,2019-09-29,3
CATEG-2,2020-01-22,4
CATEG-3,2018-11-05,0
CATEG-2,2020-04-03,142
CATEG-2,2020-03-04,13
CATEG-2,2021-07-02,25
CATEG-2,2020-06-07,125
CATEG-2,2020-10-02,11
CATEG-3,2019-09-24,637
CATEG-2,2021-02-21,27
CATEG-2,2019-10-08,3
CATEG-3,2021-05-18,2445
CATEG-3,2020-10-01,1375
CATEG-2,2020-11-18,10
CATEG-1,2021-09-22,45
CATEG-2,2019-12-18,10
CATEG-2,2019-12-03,8
CATEG-1,2019-09-26,20
CATEG-3,2020-01-28,739
CATEG-1,2020-09-27,40
CATEG-3,2020-07-05,1166
CATEG-2,2021-07-25,35
CATEG-3,2019-11-11,762
CATEG-2,2021-08-27,21
CATEG-2,2021-04-06,123
CATEG-2,2020-12-22,28
CATEG-1,2021-05-06,43
CATEG-1,2020-01-03,46
CATEG-3,2020-09-29,1377
CATEG-2,2020-07-27,63
CATEG-2,2021-10-17,11
CATEG-3,2020-03-20,428
CATEG-3,2020-01-29,708
CATEG-2,2019-09-12,4
CATEG-1,2020-12-07,174
CATEG-1,2020-11-04,57
CATEG-1,2019-10-23,23
CATEG-2,2020-05-06,222
CATEG-3,2021-01-16,2642
CATEG-2,2019-12-15,9
CATEG-3,2018-11-11,0
CATEG-2,2021-06-19,41
CATEG-3,2020-12-22,3024
CATEG-1,2019-07-06,19
CATEG-1,2021-06-01,58
CATEG-3,2021-07-15,2337
CATEG-1,2019-12-17,110
CATEG-3,2020-05-27,2357
CATEG-3,2020-01-15,839
CATEG-1,2020-01-24,30
CATEG-3,2020-04-09,636
CATEG-3,2021-11-08,2812
CATEG-3,2021-10-13,2221
CATEG-1,2020-09-06,45
CATEG-2,2021-10-31,9
CATEG-3,2020-03-06,655
CATEG-3,2021-07-25,1626
CATEG-2,2020-04-08,166
CATEG-3,2020-06-18,1410
CATEG-2,2021-06-07,48
CATEG-1,2019-07-03,27
CATEG-2,2021-03-21,96
CATEG-1,2019-09-09,27
CATEG-3,2020-01-13,751
CATEG-2,2019-07-29,14
CATEG-2,2020-05-03,250
CATEG-3,2021-09-19,2075
CATEG-3,2021-08-09,2120
CATEG-2,2020-06-20,66
CATEG-1,2019-09-11,23
CATEG-1,2019-10-31,14
CATEG-2,2021-06-24,41
CATEG-2,2021-09-20,19
CATEG-3,2018-10-02,1
CATEG-2,2019-10-16,2
CATEG-1,2020-04-18,58
CATEG-3,2020-02-29,621
CATEG-3,2020-04-11,581
CATEG-3,2019-07-06,446
CATEG-2,2021-06-25,38
CATEG-1,2020-07-22,64
CATEG-1,2020-08-08,47
CATEG-3,2018-09-30,1
CATEG-2,2020-03-19,45
CATEG-3,2019-10-14,646
CATEG-3,2021-05-10,2216
CATEG-1,2020-02-20,22
CATEG-3,2020-01-23,692
CATEG-2,2020-09-28,11
CATEG-1,2020-05-14,58
CATEG-3,2020-09-17,1437
CATEG-3,2018-10-01,2
CATEG-2,2021-02-22,33
CATEG-1,2020-02-02,24
CATEG-1,2020-03-27,26
CATEG-2,2020-08-31,32
CATEG-1,2019-09-30,19
CATEG-2,2021-11-09,13
CATEG-2,2020-10-22,6
CATEG-2,2021-10-01,14
CATEG-2,2021-06-22,64
CATEG-2,2021-04-07,114
CATEG-2,2020-12-23,25
CATEG-3,2020-10-18,1537
CATEG-1,2021-08-03,56
CATEG-3,2021-10-26,2223
CATEG-3,2021-09-30,1918
CATEG-1,2021-08-27,47
CATEG-1,2020-01-22,38
CATEG-1,2019-09-14,13
CATEG-3,2021-01-06,2440
CATEG-1,2020-06-10,86
CATEG-2,2020-05-04,271
CATEG-1,2020-04-16,53
CATEG-2,2020-07-09,93
CATEG-1,2019-06-29,19
CATEG-1,2020-07-11,65
CATEG-3,2020-12-04,3058
CATEG-3,2019-06-28,484
CATEG-3,2020-12-24,1932
CATEG-3,2021-05-22,1970
CATEG-1,2021-07-08,54
CATEG-3,2019-07-25,511
CATEG-3,2018-11-03,0
CATEG-2,2020-05-18,151
CATEG-2,2021-01-09,9
CATEG-3,2019-12-31,612
CATEG-2,2020-09-26,8
CATEG-2,2021-03-01,95
CATEG-3,2019-09-01,505
CATEG-2,2021-03-29,223
CATEG-1,2019-08-14,26
CATEG-3,2021-11-06,2751
CATEG-1,2021-02-21,73
CATEG-1,2020-11-09,210
CATEG-2,2020-08-26,17
CATEG-3,2020-11-18,3667
CATEG-2,2019-07-05,16
CATEG-1,2019-08-03,17
CATEG-2,2021-03-30,210
CATEG-2,2019-09-02,6
CATEG-3,2020-06-07,1218
CATEG-3,2021-04-06,2125
CATEG-3,2020-07-08,1303
CATEG-1,2021-04-16,51
CATEG-1,2020-09-08,63
CATEG-1,2021-07-20,67
CATEG-3,2020-01-20,734
CATEG-3,2021-02-14,1688
CATEG-2,2021-03-08,87
CATEG-1,2021-06-17,51
CATEG-3,2019-12-02,992
CATEG-1,2019-10-18,17
CATEG-1,2020-05-15,60
CATEG-2,2021-09-25,12
CATEG-2,2020-04-13,309
CATEG-2,2020-03-14,17
CATEG-2,2021-09-08,18
CATEG-1,2019-11-13,30
CATEG-1,2019-11-11,32
CATEG-2,2021-06-01,46
CATEG-3,2019-11-06,642
CATEG-3,2021-06-14,2404
CATEG-2,2021-09-23,18
CATEG-3,2020-10-27,1700
CATEG-2,2020-07-10,85
CATEG-1,2020-10-17,32
CATEG-1,2020-04-02,35
CATEG-1,2020-04-09,38
CATEG-3,2019-09-02,708
CATEG-1,2019-06-27,20
CATEG-2,2020-12-24,16
CATEG-1,2021-10-20,39
CATEG-3,2019-06-11,642
CATEG-3,2021-07-02,3582
CATEG-2,2020-08-01,42
CATEG-2,2020-12-26,21
CATEG-2,2021-03-14,118
CATEG-1,2020-01-28,36
CATEG-1,2020-03-04,31
CATEG-1,2021-03-07,63
CATEG-3,2021-01-28,2136
CATEG-2,2020-03-26,99
CATEG-1,2020-05-02,57
CATEG-2,2020-06-11,89
CATEG-2,2019-06-30,11
CATEG-3,2020-07-02,1395
CATEG-2,2021-05-14,40
CATEG-1,2020-11-01,27
CATEG-2,2019-10-09,4
CATEG-1,2019-09-24,20
CATEG-1,2021-06-23,44
CATEG-3,2020-11-20,3513
CATEG-2,2021-01-15,11
CATEG-2,2019-10-18,2
CATEG-2,2021-04-10,112
CATEG-3,2021-05-25,3533
CATEG-3,2020-09-03,1548
CATEG-1,2020-07-12,64
CATEG-1,2021-04-05,69
CATEG-2,2020-04-07,182
CATEG-1,2021-02-08,103
CATEG-2,2019-09-11,4
CATEG-3,2020-07-14,1442
CATEG-1,2021-06-20,36
CATEG-2,2021-01-12,15
CATEG-2,2019-12-30,7
CATEG-2,2021-09-02,22
CATEG-2,2019-12-16,13
CATEG-3,2020-03-01,650
CATEG-1,2020-11-03,37
CATEG-2,2021-05-15,32
CATEG-1,2019-09-07,20
CATEG-3,2019-06-22,396
CATEG-3,2019-06-18,585
CATEG-3,2021-08-06,2191
CATEG-2,2021-10-03,19
CATEG-3,2019-12-09,1148
CATEG-3,2020-03-15,539
CATEG-2,2021-04-17,98
CATEG-2,2020-06-22,94
CATEG-1,2021-11-12,146
CATEG-1,2021-10-13,48
CATEG-2,2020-07-12,113
CATEG-2,2020-03-30,147
CATEG-3,2020-04-19,811
CATEG-3,2019-10-10,506
CATEG-3,2019-08-19,755
CATEG-3,2019-10-11,405
CATEG-2,2021-05-21,44
CATEG-1,2019-10-26,13
CATEG-3,2021-07-24,1491
CATEG-3,2021-04-04,1569
CATEG-3,2021-01-13,2048
CATEG-3,2021-05-12,2041
CATEG-1,2021-01-12,70
CATEG-2,2020-01-19,3
CATEG-3,2021-10-17,2172
CATEG-1,2019-09-28,15
CATEG-3,2019-11-01,428
CATEG-3,2020-01-04,624
CATEG-3,2020-01-10,683
CATEG-2,2020-12-02,12
CATEG-2,2021-10-21,17
CATEG-2,2021-05-24,56
CATEG-1,2020-01-07,50
CATEG-1,2021-09-09,44
CATEG-2,2020-08-22,18
CATEG-2,2021-08-08,30
CATEG-1,2021-11-01,39
CATEG-1,2020-06-08,58
CATEG-3,2021-05-31,3522
CATEG-1,2020-09-04,48
CATEG-3,2020-04-27,1300
CATEG-2,2020-12-19,36
CATEG-1,2019-07-07,21
CATEG-2,2021-07-16,41
CATEG-3,2020-03-23,495
CATEG-3,2019-07-27,393
CATEG-2,2020-07-24,61
CATEG-1,2021-08-12,55
CATEG-2,2019-11-28,4
CATEG-1,2021-04-30,55
CATEG-1,2021-10-05,38
CATEG-2,2020-06-23,98
CATEG-1,2021-11-07,46
CATEG-2,2020-08-19,31
CATEG-3,2021-10-22,1854
CATEG-2,2020-07-23,76
CATEG-3,2021-05-20,2315
CATEG-1,2019-12-08,55
CATEG-3,2020-09-23,1391
CATEG-1,2020-08-16,47
CATEG-1,2021-05-15,24
CATEG-3,2020-07-25,1096
CATEG-1,2021-04-15,52
CATEG-2,2020-11-19,10
CATEG-1,2021-05-20,40
CATEG-1,2020-05-12,50
CATEG-1,2020-06-22,62
CATEG-3,2019-09-08,455
CATEG-1,2019-10-01,24
CATEG-2,2019-08-13,10
CATEG-1,2020-09-09,55
CATEG-2,2020-09-22,15
CATEG-1,2021-05-19,46
CATEG-1,2020-11-13,152
CATEG-3,2019-07-18,634
CATEG-2,2019-09-22,2
CATEG-1,2020-05-16,54
CATEG-3,2020-08-02,1234
CATEG-3,2020-02-12,852
CATEG-3,2021-07-08,2117
CATEG-2,2021-09-18,16
CATEG-2,2021-03-07,79
CATEG-1,2021-05-22,36
CATEG-2,2020-07-01,84
CATEG-2,2020-12-15,34
CATEG-3,2021-10-16,2007
CATEG-3,2021-01-27,2142
CATEG-3,2020-10-03,1120
CATEG-2,2019-06-12,13
CATEG-3,2019-12-23,904
CATEG-3,2020-11-24,1795
CATEG-2,2020-09-23,12
CATEG-2,2020-02-26,5
CATEG-3,2020-10-19,1777
CATEG-1,2020-09-07,67
CATEG-1,2020-10-21,37
CATEG-2,2021-01-07,14
CATEG-2,2021-05-04,77
CATEG-1,2020-02-01,23
CATEG-2,2020-12-12,23
CATEG-1,2020-06-04,57
CATEG-2,2019-06-16,7
CATEG-1,2020-01-20,34
CATEG-2,2020-03-07,2
CATEG-2,2020-08-11,40
CATEG-3,2020-08-19,1732
CATEG-1,2021-10-24,33
CATEG-1,2019-08-19,39
CATEG-3,2020-09-16,1397
CATEG-1,2021-03-22,66
CATEG-1,2019-06-20,23
CATEG-1,2018-10-16,1
CATEG-3,2020-01-17,669
CATEG-3,2020-03-21,423
CATEG-3,2019-09-11,610
CATEG-2,2020-08-20,27
CATEG-1,2020-03-13,21
CATEG-3,2019-11-23,550
CATEG-2,2019-07-30,18
CATEG-1,2019-07-01,28
CATEG-3,2020-02-07,683
CATEG-3,2019-11-25,746
CATEG-3,2021-05-24,3880
CATEG-1,2021-06-28,50
CATEG-1,2019-06-12,26
CATEG-1,2021-04-24,43
CATEG-3,2021-08-16,2518
CATEG-1,2021-08-28,39
CATEG-3,2021-05-06,2734
CATEG-1,2019-12-02,105
CATEG-3,2020-09-25,1194
CATEG-2,2021-10-27,18
CATEG-2,2019-12-10,8
CATEG-2,2021-02-09,31
CATEG-3,2020-03-05,773
CATEG-2,2019-07-03,14
CATEG-3,2020-10-25,1373
CATEG-3,2020-02-09,624
CATEG-1,2020-06-19,57
CATEG-1,2021-01-30,86
CATEG-2,2021-06-04,40
CATEG-1,2020-02-24,32
CATEG-1,2021-03-16,63
CATEG-3,2019-08-08,595
CATEG-3,2019-06-26,548
CATEG-1,2020-09-23,58
CATEG-1,2021-06-24,36
CATEG-3,2019-08-14,689
CATEG-2,2019-07-10,24
CATEG-2,2019-08-08,17
CATEG-3,2020-04-29,1292
CATEG-3,2021-09-09,2419
CATEG-3,2021-03-04,1935
CATEG-3,2020-07-24,1288
CATEG-3,2021-09-21,2092
CATEG-2,2020-01-24,1
CATEG-3,2020-08-07,1309
CATEG-1,2019-08-01,24
CATEG-3,2021-04-28,2065
CATEG-2,2019-10-30,7
CATEG-1,2020-02-17,36
CATEG-3,2021-05-13,2063
CATEG-3,2021-04-02,1687
CATEG-1,2020-11-11,175
CATEG-1,2020-11-14,114
CATEG-2,2021-10-13,19
CATEG-3,2021-10-20,2239
CATEG-1,2021-11-05,62
CATEG-2,2021-11-01,8
CATEG-1,2021-10-02,38
CATEG-1,2019-09-01,21
CATEG-3,2021-06-23,2165
CATEG-2,2021-10-30,13
CATEG-1,2020-09-13,39
CATEG-2,2020-02-09,3
CATEG-2,2019-06-26,15
CATEG-2,2020-10-20,11
CATEG-2,2020-06-28,77
CATEG-2,2020-10-03,8
CATEG-3,2021-09-22,2080
CATEG-3,2021-04-08,1859
CATEG-2,2020-05-05,239
CATEG-2,2020-09-27,9
CATEG-3,2021-04-07,2022
CATEG-3,2021-03-05,1918
CATEG-1,2019-06-18,19
CATEG-3,2020-10-15,2319
CATEG-2,2019-12-02,9
CATEG-2,2020-11-04,11
CATEG-2,2021-07-17,40
CATEG-3,2019-12-03,918
CATEG-3,2019-08-21,734
CATEG-3,2020-04-16,902
CATEG-2,2020-08-21,21
CATEG-2,2019-12-25,4
CATEG-3,2021-02-22,2003
CATEG-1,2020-11-25,72
CATEG-2,2021-07-01,37
CATEG-3,2020-09-14,1571
CATEG-1,2020-02-27,22
CATEG-1,2020-11-27,111
CATEG-3,2021-04-17,1639
CATEG-3,2021-02-05,1933
CATEG-3,2020-11-09,3517
CATEG-1,2021-04-19,65
CATEG-1,2020-05-18,89
CATEG-1,2021-05-04,50
CATEG-1,2020-10-16,43
CATEG-3,2021-05-30,2747
CATEG-1,2021-06-08,48
CATEG-3,2021-02-20,1740
CATEG-2,2021-05-16,42
CATEG-2,2019-11-11,2
CATEG-3,2019-09-28,376
CATEG-3,2019-09-21,464
CATEG-1,2021-07-10,40
CATEG-2,2020-11-17,18
CATEG-3,2020-05-18,2182
CATEG-1,2020-08-05,59
CATEG-3,2021-03-01,2211
CATEG-1,2021-01-13,59
CATEG-1,2020-12-19,124
CATEG-2,2020-03-28,136
CATEG-1,2019-08-27,27
CATEG-1,2020-12-24,84
CATEG-2,2020-09-19,11
CATEG-2,2020-03-27,96
CATEG-1,2020-03-21,21
CATEG-2,2021-05-30,55
CATEG-3,2020-03-02,826
CATEG-1,2021-03-28,49
CATEG-1,2019-12-12,90
CATEG-2,2021-01-14,8
CATEG-3,2021-10-27,2165
CATEG-3,2020-06-10,1381
CATEG-2,2020-06-25,72
CATEG-2,2020-08-03,57
CATEG-1,2019-11-25,46
CATEG-1,2019-11-14,46
CATEG-2,2020-02-29,8
CATEG-3,2021-02-08,2035
CATEG-3,2021-05-08,2254
CATEG-3,2021-01-17,2410
CATEG-1,2019-12-30,56
CATEG-2,2020-07-18,117
CATEG-1,2019-12-21,60
CATEG-3,2018-10-23,0
CATEG-3,2020-10-14,3172
CATEG-2,2021-02-04,23
CATEG-2,2019-09-24,5
CATEG-2,2020-10-25,10
CATEG-1,2021-08-19,57
CATEG-3,2020-01-30,716
CATEG-2,2019-09-13,4
CATEG-3,2020-05-23,2525
CATEG-3,2021-03-26,1782
CATEG-3,2020-10-05,1511
CATEG-3,2021-02-13,1933
CATEG-3,2018-10-10,1
CATEG-2,2021-08-16,40
CATEG-2,2020-09-17,14
CATEG-2,2019-08-03,9
CATEG-3,2019-10-22,619
CATEG-2,2020-01-08,5
CATEG-1,2021-08-29,36
CATEG-3,2020-03-10,878
CATEG-2,2021-01-29,16
CATEG-2,2020-01-06,6
CATEG-2,2021-09-04,19
CATEG-1,2021-04-03,46
CATEG-3,2021-03-11,1868
CATEG-1,2021-06-18,39
CATEG-1,2020-01-05,31
CATEG-3,2019-10-20,419
CATEG-3,2019-07-19,504
CATEG-2,2020-08-30,28
CATEG-2,2020-03-13,13
CATEG-2,2020-02-07,2
CATEG-1,2019-07-23,30
CATEG-2,2021-06-29,38
CATEG-3,2019-10-06,418
CATEG-2,2021-04-24,90
CATEG-1,2021-03-14,53
CATEG-1,2021-03-18,56
CATEG-1,2019-07-27,16
CATEG-2,2020-10-30,8
CATEG-3,2021-01-12,1954
CATEG-1,2021-10-19,37
CATEG-2,2021-04-14,126
CATEG-2,2020-11-24,10
CATEG-3,2020-06-16,1746
CATEG-3,2020-01-26,501
CATEG-3,2021-09-29,1847
CATEG-2,2021-01-13,6
CATEG-3,2019-12-13,1177
CATEG-3,2020-12-27,2708
CATEG-3,2020-02-02,517
CATEG-2,2019-09-05,3
CATEG-1,2021-01-21,88
CATEG-3,2020-04-13,857
CATEG-3,2019-11-17,1219
CATEG-1,2021-07-07,55
CATEG-2,2019-08-11,11
CATEG-2,2020-12-11,25
CATEG-2,2020-06-08,134
CATEG-2,2021-01-31,18
